FLY_GENE1	FLY_GENE2	REFERENCE	DATE_LAST_UPDATED	DATA_VERSION	REFERENCEURL	SYMBOL_BD	SYMBOL_AD	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0011706	FBgn0260635	"FBrf0125418, FBrf0135877, FBrf0151710, FBrf0148977, FBrf0093501, FBrf0190751, FBrf0125392, FBrf0149134, FBrf0152246, FBrf0159242, FBrf0085196, FBrf0151953"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0125418.html, http://flybase.net/reports/FBrf0135877.html, http://flybase.net/reports/FBrf0151710.html, http://flybase.net/reports/FBrf0148977.html, http://flybase.net/reports/FBrf0093501.html, http://flybase.net/reports/FBrf0190751.html, http://flybase.net/reports/FBrf0125392.html, http://flybase.net/reports/FBrf0149134.html, http://flybase.net/reports/FBrf0152246.html, http://flybase.net/reports/FBrf0159242.html, http://flybase.net/reports/FBrf0085196.html, http://flybase.net/reports/FBrf0151953.html"	rpr	Diap1	gg	
FBgn0000635	FBgn0085447	FBrf0130091	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0130091.html	Fas2	sif	gg	
FBgn0000547	FBgn0010433	FBrf0160869	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0160869.html	ed	ato	gg	
FBgn0004618	FBgn0004956	FBrf0167623	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167623.html	gl	upd1	gg	
FBgn0004860	FBgn0260642	FBrf0034841	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0034841.html	ph-d	Antp	gg	
FBgn0086372	FBgn0086655	FBrf0194564	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0194564.html	lap	jing	gg	
FBgn0003997	FBgn0264562	FBrf0190751	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190751.html	hid	Hr4	gg	
FBgn0010382	FBgn0017551	FBrf0103367	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0103367.html	CycE	Rca1	gg	
FBgn0003041	FBgn0034140	FBrf0199094	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0199094.html	pbl	Lst	gg	
FBgn0015904	FBgn0015919	FBrf0129751	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0129751.html	ara	caup	gg	
