FLY_GENE1	FLY_GENE2	REFERENCE	DATE_LAST_UPDATED	DATA_VERSION	REFERENCEURL	SYMBOL_BD	SYMBOL_AD	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0003053	FBgn0021832	FBrf0180294	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0180294.html	peb	l(2)k15826	gg	
FBgn0035976	FBgn0243514	FBrf0189912	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0189912.html	PGRP-LC	eater	gg	
FBgn0003117	FBgn0062675	FBrf0147055	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0147055.html	pnr	EP2433	gg	
FBgn0004644	FBgn0259176	FBrf0084455	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0084455.html	hh	bun	gg	
FBgn0000117	FBgn0000229	FBrf0128573	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0128573.html	arm	bsk	gg	
FBgn0000567	FBgn0283451	FBrf0083928	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0083928.html	Eip74EF	br	gg	
FBgn0025641	FBgn0264959	FBrf0190308	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190308.html	DAAM	Src42A	gg	
FBgn0000382	FBgn0262733	"FBrf0091036, FBrf0129810"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0091036.html, http://flybase.net/reports/FBrf0129810.html"	csw	Src64B	gg	
FBgn0000241	FBgn0067873	FBrf0162143	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0162143.html	bw	Mod(Prat:bw)3-2	gg	
FBgn0001137	FBgn0003310	"FBrf0141506, FBrf0129841"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0141506.html, http://flybase.net/reports/FBrf0129841.html"	grk	S	gg	
FBgn0003261	FBgn0003996	"FBrf0076540, FBrf0099171"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0076540.html, http://flybase.net/reports/FBrf0099171.html"	Rm62	w	gg	
FBgn0003996	FBgn0004587	"FBrf0054964, FBrf0084258, FBrf0068180"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0054964.html, http://flybase.net/reports/FBrf0084258.html, http://flybase.net/reports/FBrf0068180.html"	w	B52	gg	
FBgn0003861	FBgn0016929	FBrf0167944	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167944.html	trp	smi28E	gg	
FBgn0003079	FBgn0004795	FBrf0125429	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0125429.html	Raf	retn	gg	
FBgn0003205	FBgn0011763	FBrf0111491	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0111491.html	Ras85D	Dp	gg	
FBgn0003042	FBgn0005624	FBrf0079925	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0079925.html	Pc	Psc	gg	
FBgn0000479	FBgn0259243	FBrf0100554	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0100554.html	dnc	Pka-R1	gg	
FBgn0010382	FBgn0011591	FBrf0152035	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0152035.html	CycE	fng	gg	
FBgn0011706	FBgn0278608	FBrf0190751	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190751.html	rpr	Dsp1	gg	
FBgn0011592	FBgn0034013	FBrf0141688	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0141688.html	fra	unc-5	gg	
FBgn0004618	FBgn0004647	"FBrf0090844, FBrf0087580"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0090844.html, http://flybase.net/reports/FBrf0087580.html"	gl	N	gg	
FBgn0000241	FBgn0067879	FBrf0162143	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0162143.html	bw	Mod(Prat:bw)2-4	gg	
FBgn0003041	FBgn0027889	FBrf0199094	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0199094.html	pbl	ball	gg	
FBgn0005592	FBgn0034598	FBrf0187664	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187664.html	btl	CG4266	gg	
FBgn0001263	FBgn0005614	FBrf0129942	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0129942.html	inaD	trpl	gg	
FBgn0002573	FBgn0004170	"FBrf0129996, FBrf0190299"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0129996.html, http://flybase.net/reports/FBrf0190299.html"	sens	sc	gg	
FBgn0000146	FBgn0003015	"FBrf0138362, FBrf0090859, FBrf0087782"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0138362.html, http://flybase.net/reports/FBrf0090859.html, http://flybase.net/reports/FBrf0087782.html"	aub	osk	gg	
FBgn0003117	FBgn0028734	FBrf0147055	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0147055.html	pnr	Fmr1	gg	
FBgn0013724	FBgn0016639	FBrf0087493	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0087493.html	Raf::tor	ER2-3	gg	
FBgn0000154	FBgn0003547	FBrf0063890	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0063890.html	B	su(Bar)	gg	
FBgn0003285	FBgn0044009	FBrf0130106	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0130106.html	rst	Su(rst)B183	gg	
FBgn0003205	FBgn0003256	"FBrf0131405, FBrf0089778, FBrf0155813, FBrf0087493, FBrf0100097, FBrf0125429, FBrf0077257, FBrf0135730"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0131405.html, http://flybase.net/reports/FBrf0089778.html, http://flybase.net/reports/FBrf0155813.html, http://flybase.net/reports/FBrf0087493.html, http://flybase.net/reports/FBrf0100097.html, http://flybase.net/reports/FBrf0125429.html, http://flybase.net/reports/FBrf0077257.html, http://flybase.net/reports/FBrf0135730.html"	Ras85D	rl	gg	
FBgn0031912	FBgn0039044	FBrf0190751	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190751.html	CG5261	p53	gg	
FBgn0003463	FBgn0003719	"FBrf0162076, FBrf0055881, FBrf0187482"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0162076.html, http://flybase.net/reports/FBrf0055881.html, http://flybase.net/reports/FBrf0187482.html"	sog	tld	gg	
FBgn0000241	FBgn0067886	FBrf0162143	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0162143.html	bw	Mod(Prat:bw)1-1	gg	
FBgn0039831	FBgn0267825	FBrf0187660	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187660.html	CG12054	L	gg	
FBgn0005638	FBgn0016917	FBrf0141417	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0141417.html	slbo	Stat92E	gg	
FBgn0003118	FBgn0003205	"FBrf0131405, FBrf0158858, FBrf0074056, FBrf0125429"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0131405.html, http://flybase.net/reports/FBrf0158858.html, http://flybase.net/reports/FBrf0074056.html, http://flybase.net/reports/FBrf0125429.html"	pnt	Ras85D	gg	
FBgn0000405	FBgn0024196	FBrf0155492	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0155492.html	CycB	robl	gg	
FBgn0003117	FBgn0062636	FBrf0147055	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0147055.html	pnr	EP995	gg	
FBgn0000499	FBgn0010909	FBrf0111453	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0111453.html	dsh	msn	gg	
FBgn0004657	FBgn0260442	"FBrf0093664, FBrf0151900"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0093664.html, http://flybase.net/reports/FBrf0151900.html"	mys	rhea	gg	
FBgn0001120	FBgn0003114	FBrf0160882	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0160882.html	gnu	plu	gg	
FBgn0000047	FBgn0026608	FBrf0105228	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0105228.html	Act88F	Act42A::Act88F	gg	
FBgn0003392	FBgn0038659	FBrf0167802	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167802.html	shi	EndoA	gg	
FBgn0004657	FBgn0020867	FBrf0093664	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0093664.html	mys	auk	gg	
FBgn0004009	FBgn0266464	FBrf0135720	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0135720.html	wg	Nsf2	gg	
FBgn0086372	FBgn0262975	FBrf0194564	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0194564.html	lap	cnc	gg	
FBgn0002973	FBgn0003124	FBrf0202130	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0202130.html	numb	polo	gg	
FBgn0001085	FBgn0024836	FBrf0111831	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0111831.html	fz	stan	gg	
FBgn0015279	FBgn0084500	FBrf0190712	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190712.html	Pi3K92E	lep	gg	
FBgn0001981	FBgn0004956	FBrf0167623	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167623.html	esg	upd1	gg	
FBgn0000256	FBgn0004510	FBrf0083944	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0083944.html	capu	Ets97D	gg	
FBgn0000490	FBgn0011236	FBrf0167302	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167302.html	dpp	ken	gg	
FBgn0001169	FBgn0030328	"FBrf0190751, FBrf0128367"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0190751.html, http://flybase.net/reports/FBrf0128367.html"	H	Amun	gg	
FBgn0001308	FBgn0029178	FBrf0112115	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0112115.html	Khc	E(Khc)ek9	gg	
FBgn0000560	FBgn0261434	FBrf0094581	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0094581.html	eg	hkb	gg	
FBgn0000212	FBgn0002783	"FBrf0187627, FBrf0107412"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0187627.html, http://flybase.net/reports/FBrf0107412.html"	brm	mor	gg	
FBgn0000061	FBgn0004863	FBrf0183856	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0183856.html	al	C15	gg	
FBgn0005632	FBgn0043573	FBrf0131274	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0131274.html	faf	S(faf)244	gg	
FBgn0000411	FBgn0003997	FBrf0167623	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167623.html	D	hid	gg	
FBgn0000463	FBgn0010087	FBrf0057610	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0057610.html	Dl	Su(Dl)D107	gg	
FBgn0001077	FBgn0082686	FBrf0180288	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0180288.html	ftz	E(ftz)20	gg	
FBgn0003209	FBgn0265434	FBrf0111332	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0111332.html	raw	zip	gg	
FBgn0029944	FBgn0243512	FBrf0190273	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190273.html	Dok	puc	gg	
FBgn0003330	FBgn0015904	FBrf0102846	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0102846.html	Sce	ara	gg	
FBgn0031464	FBgn0038465	FBrf0190609	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190609.html	Duox	Irc	gg	
FBgn0004647	FBgn0019947	"FBrf0128529, FBrf0111379, FBrf0111526"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0128529.html, http://flybase.net/reports/FBrf0111379.html, http://flybase.net/reports/FBrf0111526.html"	N	Psn	gg	
FBgn0010382	FBgn0082636	FBrf0180291	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0180291.html	CycE	S(CycE<up>JP</up>)1S3	gg	
FBgn0003267	FBgn0043558	FBrf0131272	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0131272.html	ro	Su(ro<up>DOM</up>)1993	gg	
FBgn0000490	FBgn0003117	FBrf0147055	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0147055.html	dpp	pnr	gg	
FBgn0003117	FBgn0016660	FBrf0183861	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0183861.html	pnr	H15	gg	
FBgn0003330	FBgn0004861	FBrf0083917	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0083917.html	Sce	ph-p	gg	
FBgn0031005	FBgn0259984	FBrf0199183	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0199183.html	Hs3st-B	kuz	gg	
FBgn0000166	FBgn0013764	FBrf0125233	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0125233.html	bcd	Chi	gg	
FBgn0000241	FBgn0003515	FBrf0141614	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0141614.html	bw	st	gg	
FBgn0031006	FBgn0038197	FBrf0201456	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0201456.html	rictor	foxo	gg	
FBgn0039338	FBgn0086372	FBrf0194564	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0194564.html	XNP	lap	gg	
FBgn0000100	FBgn0000927	FBrf0146968	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0146968.html	RpLP0	fs(1)Ya	gg	
FBgn0003117	FBgn0030400	FBrf0147055	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0147055.html	pnr	CG11138	gg	
FBgn0000439	FBgn0262975	"FBrf0098246, FBrf0130138, FBrf0083173, FBrf0105883"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0098246.html, http://flybase.net/reports/FBrf0130138.html, http://flybase.net/reports/FBrf0083173.html, http://flybase.net/reports/FBrf0105883.html"	Dfd	cnc	gg	
FBgn0004198	FBgn0261885	FBrf0187644	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187644.html	ct	osa	gg	
FBgn0001169	FBgn0039044	FBrf0190751	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190751.html	H	p53	gg	
FBgn0003053	FBgn0010638	FBrf0180294	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0180294.html	peb	Sec61ë_	gg	
FBgn0010333	FBgn0010909	FBrf0144880	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0144880.html	Rac1	msn	gg	
FBgn0039350	FBgn0041188	FBrf0194564	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0194564.html	jigr1	Atx2	gg	
FBgn0004647	FBgn0019850	FBrf0090844	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0090844.html	N	anon-XIV	gg	
FBgn0000497	FBgn0002945	FBrf0179415	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0179415.html	ds	nkd	gg	
FBgn0003041	FBgn0023407	FBrf0199094	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0199094.html	pbl	B4	gg	
FBgn0000273	FBgn0026266	"FBrf0150746, FBrf0138518"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0150746.html, http://flybase.net/reports/FBrf0138518.html"	Pka-C1	bae	gg	
FBgn0004647	FBgn0024277	FBrf0159717	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0159717.html	N	trio	gg	
FBgn0069441	FBgn0069442	FBrf0167640	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167640.html	E(zip)18-5	E(zip)12-5	gg	
FBgn0000206	FBgn0264959	FBrf0089086	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0089086.html	boss	Src42A	gg	
FBgn0002643	FBgn0026401	FBrf0109032	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0109032.html	mam	Nipped-B	gg	
FBgn0003444	FBgn0083312	FBrf0188528	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0188528.html	smo	E(smoDN)1411	gg	
FBgn0000146	FBgn0003523	"FBrf0107225, FBrf0158965"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0107225.html, http://flybase.net/reports/FBrf0158965.html"	aub	Ste	gg	
FBgn0003117	FBgn0062666	FBrf0147055	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0147055.html	pnr	EP3135	gg	
FBgn0003733	FBgn0004893	"FBrf0058535, FBrf0158996"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0058535.html, http://flybase.net/reports/FBrf0158996.html"	tor	bowl	gg	
FBgn0000097	FBgn0016736	FBrf0087493	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0087493.html	aop	SR3-6	gg	
FBgn0004837	FBgn0019947	FBrf0190133	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190133.html	Su(H)	Psn	gg	
FBgn0000256	FBgn0014020	FBrf0111959	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0111959.html	capu	Rho1	gg	
FBgn0000376	FBgn0005655	FBrf0098375	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0098375.html	crm	PCNA	gg	
FBgn0004578	FBgn0036752	FBrf0188209	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0188209.html	l(3)hem	Adgf-A	gg	
FBgn0003371	FBgn0259212	"FBrf0097955, FBrf0080258"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0097955.html, http://flybase.net/reports/FBrf0080258.html"	sgg	cno	gg	
FBgn0001139	FBgn0020496	FBrf0131378	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0131378.html	gro	CtBP	gg	
FBgn0003721	FBgn0046124	FBrf0137253	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0137253.html	Tm1	E(To)10	gg	
FBgn0003444	FBgn0004859	FBrf0162087	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0162087.html	smo	ci	gg	
FBgn0086558	FBgn0266464	FBrf0187645	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187645.html	Ubi-p5E	Nsf2	gg	
FBgn0003015	FBgn0020890	FBrf0090859	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0090859.html	osk	Su(osk)P16	gg	
FBgn0000629	FBgn0005624	FBrf0141551	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0141551.html	E(z)	Psc	gg	
FBgn0004837	FBgn0023223	FBrf0099460	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0099460.html	Su(H)	E(Egfr)C12	gg	
FBgn0003041	FBgn0015625	"FBrf0158812, FBrf0199094"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0158812.html, http://flybase.net/reports/FBrf0199094.html"	pbl	CycB3	gg	
FBgn0000097	FBgn0013343	FBrf0188513	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0188513.html	aop	Syx1A	gg	
FBgn0000439	FBgn0005562	FBrf0036530	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0036530.html	Dfd	M(3)65F	gg	
FBgn0001233	FBgn0003733	FBrf0158996	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0158996.html	Hsp83	tor	gg	
FBgn0002945	FBgn0016797	FBrf0135776	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0135776.html	nkd	fz2	gg	
FBgn0263933	FBgn0265630	FBrf0151813	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0151813.html	ebi	sno	gg	
FBgn0000490	FBgn0025008	FBrf0102634	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0102634.html	dpp	E(tkv)D2	gg	
FBgn0003028	FBgn0003041	FBrf0199094	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0199094.html	ovo	pbl	gg	
FBgn0033912	FBgn0266557	FBrf0188513	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0188513.html	RpS23	kis	gg	
FBgn0000463	FBgn0003267	FBrf0131272	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0131272.html	Dl	ro	gg	
FBgn0003889	FBgn0086915	FBrf0066557	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0066557.html	ë_Tub85D	Mst77F	gg	
FBgn0035719	FBgn0265434	FBrf0202398	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0202398.html	tow	zip	gg	
FBgn0000575	FBgn0267825	FBrf0187660	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187660.html	emc	L	gg	
FBgn0004647	FBgn0261885	FBrf0096472	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0096472.html	N	osa	gg	
FBgn0011655	FBgn0024179	FBrf0175022	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0175022.html	Med	wit	gg	
FBgn0015946	FBgn0263864	"FBrf0112020, FBrf0147000"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0112020.html, http://flybase.net/reports/FBrf0147000.html"	grim	Dark	gg	
FBgn0013724	FBgn0020238	"FBrf0093395, FBrf0087493, FBrf0086382"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0093395.html, http://flybase.net/reports/FBrf0087493.html, http://flybase.net/reports/FBrf0086382.html"	Raf::tor	14-3-3ëµ	gg	
FBgn0004389	FBgn0023172	FBrf0184065	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0184065.html	bnk	RhoGEF2	gg	
FBgn0000237	FBgn0002285	FBrf0082770	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0082770.html	bul	soba	gg	
FBgn0010333	FBgn0083243	FBrf0187664	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187664.html	Rac1	EP1207	gg	
FBgn0000017	FBgn0264089	"FBrf0128391, FBrf0152273"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0128391.html, http://flybase.net/reports/FBrf0152273.html"	Abl	sli	gg	
FBgn0001148	FBgn0004567	FBrf0122964	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0122964.html	gsb	slp2	gg	
FBgn0004198	FBgn0032908	FBrf0187644	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187644.html	ct	CG9270	gg	
FBgn0003887	FBgn0003889	"FBrf0137313, FBrf0132060"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0137313.html, http://flybase.net/reports/FBrf0132060.html"	ë_Tub56D	ë_Tub85D	gg	
FBgn0010382	FBgn0021796	FBrf0131434	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0131434.html	CycE	Tor	gg	
FBgn0000017	FBgn0014163	"FBrf0084025, FBrf0127511"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0084025.html, http://flybase.net/reports/FBrf0127511.html"	Abl	fax	gg	
FBgn0010382	FBgn0024277	FBrf0180291	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0180291.html	CycE	trio	gg	
FBgn0003042	FBgn0011715	FBrf0174517	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0174517.html	Pc	Snr1	gg	
FBgn0001169	FBgn0003267	FBrf0131272	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0131272.html	H	ro	gg	
FBgn0003411	FBgn0004956	FBrf0128638	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0128638.html	sisA	upd1	gg	
FBgn0004583	FBgn0011715	FBrf0174517	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0174517.html	ex	Snr1	gg	
FBgn0003205	FBgn0003969	FBrf0155942	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0155942.html	Ras85D	vap	gg	
FBgn0010333	FBgn0086215	FBrf0197963	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0197963.html	Rac1	jhu2388	gg	
FBgn0259228	FBgn0266464	FBrf0187645	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187645.html	C3G	Nsf2	gg	
FBgn0004198	FBgn0023441	FBrf0187644	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187644.html	ct	fus	gg	
FBgn0003041	FBgn0036980	FBrf0199094	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0199094.html	pbl	RhoBTB	gg	
FBgn0264255	FBgn0264695	FBrf0174798	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0174798.html	para	Mhc	gg	
FBgn0011715	FBgn0262976	FBrf0174517	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0174517.html	Snr1	lawc	gg	
FBgn0024277	FBgn0041203	FBrf0180582	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0180582.html	trio	LIMK1	gg	
FBgn0001308	FBgn0264255	FBrf0086466	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0086466.html	Khc	para	gg	
FBgn0000346	FBgn0264255	FBrf0139793	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0139793.html	comt	para	gg	
FBgn0003310	FBgn0004569	"FBrf0089814, FBrf0127348, FBrf0086612"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0089814.html, http://flybase.net/reports/FBrf0127348.html, http://flybase.net/reports/FBrf0086612.html"	S	aos	gg	
FBgn0031126	FBgn0266464	FBrf0187645	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187645.html	Cyp6v1	Nsf2	gg	
FBgn0003612	FBgn0004956	FBrf0137351	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0137351.html	Su(var)2-10	upd1	gg	
FBgn0027053	FBgn0028689	FBrf0158863	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0158863.html	CSN5	Rpn6	gg	
FBgn0015589	FBgn0026598	"FBrf0145163, FBrf0151885, FBrf0202792, FBrf0202572, FBrf0146980, FBrf0151886"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0145163.html, http://flybase.net/reports/FBrf0151885.html, http://flybase.net/reports/FBrf0202792.html, http://flybase.net/reports/FBrf0202572.html, http://flybase.net/reports/FBrf0146980.html, http://flybase.net/reports/FBrf0151886.html"	Apc	Apc2	gg	
FBgn0000163	FBgn0003205	FBrf0168030	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0168030.html	baz	Ras85D	gg	
FBgn0004369	FBgn0034085	FBrf0139642	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0139642.html	Ptp99A	Ptp52F	gg	
FBgn0003444	FBgn0004644	FBrf0167937	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167937.html	smo	hh	gg	
FBgn0000212	FBgn0004644	"FBrf0076129, FBrf0072686"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0076129.html, http://flybase.net/reports/FBrf0072686.html"	brm	hh	gg	
FBgn0003205	FBgn0003900	FBrf0131308	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0131308.html	Ras85D	twi	gg	
FBgn0000392	FBgn0003023	FBrf0093133	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0093133.html	cup	otu	gg	
FBgn0010341	FBgn0041111	FBrf0187664	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187664.html	Cdc42	lilli	gg	
FBgn0084463	FBgn0084551	FBrf0174798	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0174798.html	Brkd	Swg	gg	
FBgn0002783	FBgn0003391	FBrf0139643	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0139643.html	mor	shg	gg	
FBgn0016917	FBgn0041184	FBrf0151456	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0151456.html	Stat92E	Socs36E	gg	
FBgn0004647	FBgn0024273	FBrf0132374	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0132374.html	N	WASp	gg	
FBgn0004644	FBgn0005677	FBrf0075101	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0075101.html	hh	dac	gg	
FBgn0021796	FBgn0038197	FBrf0187461	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187461.html	Tor	foxo	gg	
FBgn0000180	FBgn0000463	FBrf0099033	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0099033.html	bib	Dl	gg	
FBgn0003042	FBgn0082166	FBrf0167457	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0167457.html	Pc	ph-PRE	gg	
FBgn0000043	FBgn0031453	FBrf0188513	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0188513.html	Act42A	Bacc	gg	
FBgn0000382	FBgn0003366	FBrf0053392	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0053392.html	csw	sev	gg	
