Symbol,int
spn-E,1
spn-E,1
spn-E,1
spn-E,1
spn-E,1
spn-D,1
spn-D,1
spn-D,1
spn-D,6
spn-D,1
spn-D,1
spn-D,1
spn-B,3
spn-B,1
spn-B,1
spn-B,1
spn-B,1
spn-B,1
spn-B,5
spn-B,1
spn-A,1
spn-A,2
spn-A,2
spn-A,1
spn-A,1
Spn27A,2
Spn27A,1
Spn27A,1
Sply,1
spir,2
spir,3
spir,2
spir,4
spin,1
spin,1
spin,2
spin,1
spi,1
spi,1
spi,1
spi,1
spi,1
spi,3
spi,1
spi,1
spi,1
spi,1
spi,5
spi,1
spi,1
spi,1
spi,2
spi,1
spi,1
spi,1
spi,1
spi,3
spi,1
spi,1
spi,1
spi,1
spi,1
spi,1
spi,1
spi,1
spi,1
spen,2
spen,1
spen,1
spen,1
spen,1
spen,1
spen,2
spen,1
spen,1
spen,1
spen,1
spen,1
spen,1
spen,1
spen,1
spen,1
spen,1
spen,2
spen,1
spen,1
spen,1
spen,1
SPE,3
spdo,1
spdo,3
SP2637,1
SP2637,1
Sp1,1
sp,1
SoxN,1
SoxN,1
SoxN,1
SoxN,2
SoxN,1
SoxN,1
SoxN,4
Sos,1
Sos,1
Sos,1
Sos,1
Sos,1
Sos,1
Sos,1
Sos,2
Sos,1
Sos,1
Sos,1
Sos,1
Sos,2
Sos,1
Sos,1
Sos,1
Sos,2
Sos,3
Sos,4
Sos,1
Sos,1
Sos,1
Sos,1
Sos,1
Sos,1
Sos,1
Sos,1
Sos,1
Sos,2
Sos,1
sol,1
sog,1
sog,1
sog,1
sog,1
sog,2
sog,2
sog,1
sog,1
sog,1
sog,1
sog,4
sog,1
sog,1
sog,1
sog,1
sog,1
sog,1
sog,1
sog,1
sog,1
sog,2
sog,1
sog,1
sog,1
Sodh-2,1
Sod,1
Sod,2
Socs36E,1
Socs36E,1
Socs36E,1
Socs36E,1
Socs36E,1
soba,1
soba,1
soba,1
soba,1
so,2
so,1
so,2
so,1
so,3
so,1
so,1
so,1
so,1
so,3
so,1
so,1
so,1
sns,1
snRNP-U1-70K::Hsap\SRSF1,1
snRNP-U1-70K,1
snRNP-U1-70K,1
Snr1,2
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,3
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,2
Snr1,1
Snr1,3
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snr1,1
Snoo,1
Snoo,1
Snoo,1
Snoo,1
Snoo,1
sno,1
sno,1
sno,1
sno,1
sno,1
sno,1
sno,1
sno,1
sno,1
sno,2
sno,1
sno,1
sno,1
snk,1
snk,3
sng,1
SNF4A?_,2
SNF4A?_,1
snf,1
snf,1
snf,1
snf,1
snf,1
snf,1
snf,2
snf,1
Snap25,1
Snap24,1
snama,1
snama,1
snama,2
sna::wor,1
sna,1
sna,1
sna,1
sna,1
sna,1
sna,1
sna,1
sna,1
sn,1
sn,1
sn,2
Smurf,2
Smurf,1
Smurf,1
smt3,2
smt3,1
smt3,1
smt3,2
SMSr,1
Smr,1
Smr,1
smo,1
smo,3
smo,1
smo,1
smo,2
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,2
smo,1
smo,1
smo,2
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,2
smo,2
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,2
smo,1
smo,1
smo,1
smo,1
smo,1
smo,3
smo,1
smo,1
smo,1
smo,4
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,2
smo,2
smo,2
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,2
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,1
smo,3
smo,1
smi65A,1
smi61A,1
smi51A,1
smi51A,2
smi45E,1
smi28E,1
smi28E,4
smi28E,3
smi28E,1
smi27E,1
smi27E,1
smi27E,1
smi27E,1
smi27E,1
smi26D,2
smi26D,1
smi26D,2
smi26D,1
smi26D,1
smi26D,1
smi26D,1
smi26D,1
smi26D,1
smi26D,2
smi26D,1
smi26D,1
smg,1
smg,1
smg,1
SM3-8,1
SM3-8,1
SM3-6,3
SM3-6,1
SM3-3,2
SM3-3,1
SM3-2,1
SM3-2,1
SM3-2,1
SM2-1,2
SM2-1,1
slt,1
sls,1
sls,1
sls,2
sls,1
sls,1
slpr,1
slpr,1
slpr,1
slpr,1
slpr,1
slpr,1
slpr,1
slpr,1
slpr,1
slpr,1
slpr,1
slp2,1
slp2,1
slp2,1
slp1,1
slp1,1
slp1,1
slp1,1
slp1,1
slmb,2
slmb,1
slmb,1
slmb,1
slmb,1
sll,2
Slik,1
Slik,1
slif,1
sli,2
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,2
sli,1
sli,1
sli,2
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,1
sli,2
sli,1
sli,1
sli,1
sli,1
SLC5A11,1
slbo::Rat\C-EBP-?«,1
slbo::Rat\C-EBP-?±,1
slbo,1
slbo,1
slbo,2
slbo,1
slbo,4
slbo,1
slbo,1
slbo,1
slbo,1
slbo,1
slbo,2
slbo,1
slbo,1
slbo,1
slbo,1
slbo,1
slbo,2
sl,2
sl,1
sl,1
sl,1
sktl,2
sktl,1
sktl,1
skn,1
skl,1
skl,1
skd,1
skd,1
skd,1
skd,1
skd,1
skd,1
skd,2
skd,1
skd,1
skd,1
skd,1
skd,1
skd,1
SK2-3,1
SK2-3,1
SK2-3,4
siz,1
siz,1
siz,1
sisA,1
sisA,1
sisA,1
sisA,1
sisA,2
sisA,2
sisA,1
sisA,1
sisA,1
Sirt1,1
Sirt1,1
Sirt1,1
Sirt1,1
Sirt1,1
Sirt1,1
Sirt1,1
Sirt1,1
Sirt1,1
sirio,1
sip1,1
sina,1
sina,1
sina,1
sina,2
sina,1
sina,1
sina,1
sina,1
sina,1
sina,1
sina,1
sina,1
sina,4
sina,1
sina,1
sina,2
sina,1
sina,1
sina,1
sina,1
sina,1
sina,1
sina,1
sina,1
sina,1
sina,2
sina,1
sina,1
sina,1
sina,1
sina,1
sina,1
sina,1
Sin3A,1
Sin3A,1
Sin3A,1
Sin3A,1
Sin3A,1
Sin3A,1
simj,1
simj,1
sima,1
sim,1
sim,2
sim,1
sim,1
sim,1
sim,1
sim,1
sif,1
sif,1
shot,1
shot,1
shot,1
shot,1
shot,1
shn,1
shn,1
shn,1
shn,1
shn,1
shn,1
shn,1
shn,1
shn,1
shn,1
shn,1
shn,1
shi,1
shi,1
shi,1
shi,2
shi,1
shi,1
shi,1
shi,1
shi,2
shi,1
shi,1
shi,1
shi,1
shi,1
shi,1
shi,1
shi,1
shi,1
shi,1
shi,1
shi,1
shi,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shg,1
shf,1
Shc,1
Shc,1
Shark,1
Shark,1
Shark,1
shakB,1
shakB,1
shakB,2
shakB,1
sha,1
sha,1
sha,1
sha,1
sha,1
sha,1
Sh,1
Sh,1
Sh,1
Sh,1
Sh,1
Sh,1
Sh,1
Sh,1
Sh,1
Sh,1
Sh,1
Sh,1
sgl,1
sgl,1
sgl,1
sgl,1
sgl,1
sgl,1
sgl,2
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,2
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sgg,1
sfl,1
sfl,1
sfl,1
sev::tor,1
sev::tor,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
sev,1
